"","artist.longitude","artist.latitude","geoCountry","geoState"
"6",10.45415,51.16418,"Germany","Thuringia"
"31",13.37698,52.51607,"Germany","Berlin"
"36",-77.029,38.8991,"United States","District of Columbia"
"46",-122.42005,37.77916,"United States","California"
"52",-111.9307,34.16788,"United States","Arizona"
"76",121.02183,14.56298,"Philippines","Metro Manila"
"91",-119.27023,37.27188,"United States","California"
"94",-117.75801,33.99604,"United States","California"
"110",31.25536,30.08374,"Egypt","Cairo Governorate"
"114",-118.24532,34.05349,"United States","California"
"117",-99.13285,19.4319,"Mexico","Federal District"
"136",-97.14306,29.57535,"United States","Texas"
"140",-95.84502,37.16793,"United States","Kansas"
"141",-98.30897,56.95468,"Canada","Manitoba"
"175",-80.9474,33.62646,"United States","South Carolina"
"180",-74.00712,40.71455,"United States","New York"
"210",-74.04323,40.7174,"United States","New Jersey"
"239",-95.96653,31.15509,"United States","Texas"
"272",-2.67973,42.84751,"Spain","Basque Country"
"275",-93.26493,44.97903,"United States","Minnesota"
"303",-83.22295,32.67828,"United States","Georgia"
"307",-83.04792,42.33168,"United States","Michigan"
"323",-73.9454,40.8079,"United States","New York"
"337",-79.9316,32.78115,"United States","South Carolina"
"338",-0.12714,51.50632,"United Kingdom",NA
"344",-122.27302,37.80506,"United States","California"
"352",-74.007118,40.71455,"United States","New York"
"355",-81.54106,27.9758,"United States","Florida"
"356",24.93258,60.17116,"Finland",NA
"376",20.46414,44.81187,"Serbia",NA
"402",2.40955,49.34463,"France","Picardy"
"439",-74.72671,40.14323,"United States","New Jersey"
"459",-84.39111,33.74831,"United States","Georgia"
"472",-2.10679,57.15382,"United Kingdom",NA
"478",-77.51329,18.03965,"Jamaica","Manchester Parish"
"510",-63.57392,44.64616,"Canada","Nova Scotia"
"519",144.96715,-37.81753,"Australia","Victoria"
"529",-72.75753,41.51776,"United States","Connecticut"
"542",-122.03095,36.97402,"United States","California"
"551",-71.08868,42.31256,"United States","Massachusetts"
"552",28.39131,46.97933,"Moldova","Hincesti"
"560",-82.7603,22.81751,"Cuba","Artemisa Province"
"564",82.79476,21.7866,"India","Chhattisgarh"
"566",12.66538,64.55653,"Norway","Nord-Trondelag"
"582",23.73641,37.97615,"Greece","Attica"
"592",-97.74298,30.2676,"United States","Texas"
"618",-117.76505,33.6671,"United States","California"
"641",-77.3819,44.16104,"Canada","Ontario"
"672",-0.23396,51.76102,"United Kingdom",NA
"682",13.49942,59.37991,"Sweden","Värmland County"
"689",-81.37739,28.53823,"United States","Florida"
"725",-73.94888,40.65507,"United States","New York"
"729",-90.19951,38.62774,"United States","Missouri"
"730",-149.10568,63.03654,"United States","Alaska"
"737",-120.51484,44.11559,"United States","Oregon"
"742",-94.10158,30.08615,"United States","Texas"
"777",-1.97406,52.88356,"United Kingdom",NA
"829",18.95574,69.65102,"Norway","Troms"
"838",-117.87394,33.74907,"United States","California"
"846",-87.63241,41.88415,"United States","Illinois"
"868",-58.37354,-34.60852,"Argentina","Autonomous City of Buenos Aires"
"873",9.99245,53.55334,"Germany","Hamburg"
"891",-80.83754,35.2225,"United States","North Carolina"
"912",-94.58306,39.10295,"United States","Missouri"
"926",-90.04892,35.14968,"United States","Tennessee"
"946",-75.16237,39.95227,"United States","Pennsylvania"
"958",-88.94561,38.62666,"United States","Illinois"
"968",-74.27362,41.36149,"United States","New York"
"991",-77.60454,40.99471,"United States","Pennsylvania"
"1005",-41.9952,-13.442,"Brazil","Bahia"
"1006",-155.43414,19.59009,"United States","Hawaii"
"1009",-83.00298,39.96196,"United States","Ohio"
"1028",7.66379,51.42721,"Germany","North Rhine-Westphalia"
"1032",-121.74477,38.54666,"United States","California"
"1042",-84.50469,39.10644,"United States","Ohio"
"1048",-81.6558,30.33138,"United States","Florida"
"1050",-80.07691,34.96578,"United States","North Carolina"
"1059",-96.89774,31.30627,"United States","Texas"
"1063",-90.60536,32.33112,"United States","Mississippi"
"1086",-79.38533,43.64856,"Canada","Ontario"
"1092",-3.99667,56.65286,"United Kingdom",NA
"1107",-90.45987,32.34973,"United States","Mississippi"
"1115",-85.97874,35.83073,"United States","Tennessee"
"1143",-96.63166,31.30757,"United States","Texas"
"1151",-82.44537,38.41982,"United States","West Virginia"
"1153",-88.95535,33.90698,"United States","Mississippi"
"1157",-89.77895,35.36302,"United States","Tennessee"
"1163",-73.85678,40.85715,"United States","New York"
"1174",-98.1607,26.30116,"United States","Texas"
"1182",-96.78176,46.87591,"United States","North Dakota"
"1187",-88.23546,43.01437,"United States","Wisconsin"
"1194",9.51695,56.27609,"Denmark",NA
"1212",-89.38669,43.07295,"United States","Wisconsin"
"1226",-88.59583,37.08571,"United States","Kentucky"
"1229",-78.47753,38.03213,"United States","Virginia"
"1245",-89.58828,36.87652,"United States","Missouri"
"1259",-84.10599,33.71197,"United States","Georgia"
"1276",-100.07715,31.1689,"United States","Texas"
"1279",-84.50032,38.04859,"United States","Kentucky"
"1296",-80.46935,35.66693,"United States","North Carolina"
"1303",-1.9086,52.47859,"United Kingdom",NA
"1314",-83.92091,35.96049,"United States","Tennessee"
"1320",133.39311,-24.9162,"Australia","Northern Territory"
"1324",-74.29504,40.23447,"United States","New Jersey"
"1333",-1.53179,54.89814,"United Kingdom",NA
"1340",-98.38983,34.60515,"United States","Oklahoma"
"1343",-102.4102,34.23294,"United States","Texas"
"1354",-90.33078,35.61301,"United States","Arkansas"
"1355",-79.87162,34.30246,"United States","South Carolina"
"1357",-95.93995,41.26069,"United States","Nebraska"
"1360",-89.87374,32.58507,"United States","Mississippi"
"1365",-89.00018,33.89627,"United States","Mississippi"
"1402",-98.49462,29.42449,"United States","Texas"
"1411",-87.90684,43.04181,"United States","Wisconsin"
"1414",-90.10785,31.55379,"United States","Mississippi"
"1418",-91.52382,30.9742,"United States","Louisiana"
"1435",26.06739,64.95014,"Finland",NA
"1436",-123.08854,44.04992,"United States","Oregon"
"1446",2.38596,42.54843,"France","Languedoc-Roussillon"
"1458",-80.73486,28.33268,"United States","Florida"
"1547",-77.27348,18.11526,"Jamaica","Clarendon Parish"
"1548",-74.7594,40.21787,"United States","New Jersey"
"1552",-84.75627,49.38426,"Canada","Ontario"
"1554",-72.92496,41.30711,"United States","Connecticut"
"1579",-72.09647,41.35644,"United States","Connecticut"
"1589",-1.20788,53.93063,"United Kingdom",NA
"1599",-90.59239,43.72233,"United States","Wisconsin"
"1606",12.49576,41.90311,"Italy","Lazio"
"1612",-106.02612,34.16612,"United States","New Mexico"
"1613",-76.79731,18.01571,"Jamaica","Kingston Parish"
"1620",-63.58481,-37.0907,"Argentina","La Pampa Province"
"1633",-79.77127,38.00335,"United States","Virginia"
"1656",-95.3756,40.76596,"United States","Iowa"
"1665",-90.18049,32.29869,"United States","Mississippi"
"1677",-92.58685,34.56398,"United States","Arkansas"
"1782",-86.77836,36.16778,"United States","Tennessee"
"1791",5.33275,60.3907,"Norway","Hordaland"
"1814",-93.58068,30.19145,"United States","Louisiana"
"1816",-86.89775,32.31928,"United States","Alabama"
"1833",-92.08238,30.53301,"United States","Louisiana"
"1843",-40.77105,-19.59634,"Brazil","Espirito Santo"
"1863",-82.66947,40.19033,"United States","Ohio"
"1882",-84.62167,43.7427,"United States","Michigan"
"1885",18.06243,59.33217,"Sweden","Stockholm County"
"1893",-74.17418,40.73197,"United States","New Jersey"
"1896",-85.97567,41.68676,"United States","Indiana"
"1914",3.06281,50.63718,"France","Nord-Pas-de-Calais"
"1955",14.39059,42.2306,"Italy","Abruzzo"
"1965",-121.07887,38.8962,"United States","California"
"1995",12.56935,55.67631,"Denmark",NA
"2015",-66.42889,18.22328,"Puerto Rico","Orocovis"
"2029",-92.27449,34.74865,"United States","Arkansas"
"2071",-80.11278,8.4177,"Panama","Cocle"
"2082",25.62326,-33.96243,"South Africa","Eastern Cape"
"2086",-2.96761,56.46137,"United Kingdom","Scotland"
"2097",-96.39998,30.16602,"United States","Texas"
"2110",-85.69091,37.82245,"United States","Kentucky"
"2134",-71.41199,41.82387,"United States","Rhode Island"
"2158",0.47791,51.73569,"United Kingdom",NA
"2183",-95.99277,36.15398,"United States","Oklahoma"
"2196",-74.154,40.5725,"United States","New York"
"2212",149.12656,-35.30654,"Australia","Australian Capital Territory"
"2231",-105.55096,38.99792,"United States","Colorado"
"2233",-90.71913,29.59733,"United States","Louisiana"
"2242",-73.41853,40.67856,"United States","New York"
"2261",12.90542,43.91253,"Italy","Marche"
"2269",-76.29771,36.83264,"United States","Virginia"
"2272",-95.36978,29.76045,"United States","Texas"
"2274",-92.13055,34.7519,"United States","Arkansas"
"2308",-101.85587,33.59233,"United States","Texas"
"2349",-5.93494,54.5958,"United Kingdom",NA
"2376",-117.16172,32.71568,"United States","California"
"2394",-122.71242,38.43773,"United States","California"
"2412",-118.50119,34.15917,"United States","California"
"2420",-74.20991,40.76099,"United States","New Jersey"
"2538",-77.24787,38.66059,"United States","Virginia"
"2595",-96.7954,32.77815,"United States","Texas"
"2608",-84.19444,39.75911,"United States","Ohio"
"2626",-123.11403,49.26044,"Canada","British Columbia"
"2634",-71.71818,42.18419,"United States","Massachusetts"
"2648",-90.5651,34.19451,"United States","Mississippi"
"2660",17.55142,62.19845,"Sweden","Västernorrland County"
"2662",9.17192,48.76767,"Germany","Baden-Wurttemberg"
"2668",-71.07352,42.4266,"United States","Massachusetts"
"2670",-90.09876,35.67484,"United States","Arkansas"
"2678",-90.64208,34.30138,"United States","Mississippi"
"2709",-92.01705,30.22032,"United States","Louisiana"
"2766",-162.4365,5.87522,NA,NA
"2768",-6.24953,53.34376,"Ireland","Dublin"
"2776",15.47491,49.80388,"Czech Republic","Vysocina Region"
"2782",-46.65466,-23.56287,"Brazil","São Paulo"
"2800",-92.66602,35.96043,"United States","Arkansas"
"2811",-118.24802,34.14632,"United States","California"
"2820",-73.19907,41.18466,"United States","Connecticut"
"2835",-98.52102,35.30914,"United States","Oklahoma"
"2848",1.31388,52.0953,"United Kingdom",NA
"2860",4.87137,50.45663,"Belgium","Walloon Region"
"2884",-1.54508,54.97938,"United Kingdom",NA
"2944",-78.87846,42.88544,"United States","New York"
"2973",13.22305,43.71371,"Italy","Marche"
"3009",22.95775,39.37413,"Greece","Thessalia Sterea Ellada"
"3016",-93.74727,32.51461,"United States","Louisiana"
"3037",-90.30507,33.7621,"United States","Mississippi"
"3038",-117.97092,33.99363,"United States","California"
"3120",69.86799,37.59791,"Afghanistan","Takhar"
"3153",-4.42016,36.71832,"Spain","Andalusia"
"3161",-3.53444,54.48303,"United Kingdom",NA
"3179",0.48883,50.91552,"United Kingdom",NA
"3185",-1.50776,52.40698,"United Kingdom",NA
"3205",-72.59378,42.21464,"United States","Massachusetts"
"3224",-86.8115,33.52029,"United States","Alabama"
"3259",-1.14392,52.94922,"United Kingdom",NA
"3300",35.48527,33.89275,"Lebanon","Beirut"
"3316",-46.71173,-23.6361,"Brazil","São Paulo"
"3325",2.34121,48.85692,"France","Île-de-France"
"3326",-1.54658,53.79449,"United Kingdom",NA
"3347",-79.4138,43.7698,"Canada","Ontario"
"3357",-96.91393,33.46725,"United States","Texas"
"3366",-72.67407,41.76332,"United States","Connecticut"
"3374",-43.19508,-22.97673,"Brazil","Rio de Janeiro"
"3427",-71.56889,44.48721,"United States","New Hampshire"
"3435",-75.00236,-9.18134,"Peru","Huanuco"
"3436",5.32986,52.1082,"The Netherlands","Utrecht"
"3446",-97.14074,49.89942,"Canada","Manitoba"
"3471",25.48312,42.7316,"Bulgaria","Stara Zagora"
"3492",-93.36586,46.44231,"United States","Minnesota"
"3493",-90.07771,29.95369,"United States","Louisiana"
"3513",-82.38859,23.1168,"Cuba","Havana"
"3522",-90.35591,38.59264,"United States","Missouri"
"3534",-104.99226,39.74001,"United States","Colorado"
"3546",-83.7826,43.0026,"United States","Michigan"
"3547",-69.46854,16.85576,NA,NA
"3555",-89.60586,30.24216,"United States","Mississippi"
"3590",-2.23218,54.31392,"United Kingdom",NA
"3591",-71.63056,10.73445,"Venezuela","Zulia"
"3593",-76.62118,35.53849,"United States","North Carolina"
"3594",-90.18043,33.51711,"United States","Mississippi"
"3670",-2.24881,53.4796,"United Kingdom",NA
"3739",-3.18067,51.48126,"United Kingdom",NA
"3747",-84.10729,40.74269,"United States","Ohio"
"3748",11.96689,57.70133,"Sweden","Västra Götaland County"
"3766",-87.1187,39.52517,"United States","Indiana"
"3771",-118.39981,34.07292,"United States","California"
"3781",9.67464,56.42465,"Denmark",NA
"3784",-36.74328,-9.82491,"Brazil","Alagoas"
"3825",145.08084,-37.90019,"Australia","Victoria"
"3835",-118.94151,34.18806,"United States","California"
"3841",-85.01235,35.4948,"United States","Tennessee"
"3850",0.64255,51.77045,"United Kingdom",NA
"3894",-73.61689,41.39447,"United States","New York"
"3946",-90.44116,30.43883,"United States","Louisiana"
"3954",24.49511,60.99655,"Finland",NA
"3997",-97.52033,35.472,"United States","Oklahoma"
"4013",-80.14356,26.12367,"United States","Florida"
"4067",1.71819,46.71067,"France","Centre"
"4092",8.80466,53.07516,"Germany","Bremen"
"4109",-96.92483,35.33204,"United States","Oklahoma"
"4112",-91.85307,36.73112,"United States","Missouri"
"4136",-80.01955,35.21962,"United States","North Carolina"
"4141",-74.1148,40.88104,"United States","New Jersey"
"4237",-86.28641,33.58608,"United States","Alabama"
"4251",-0.39535,51.27172,"United Kingdom",NA
"4271",-101.69814,34.19767,"United States","Texas"
"4288",-1.2323,54.6904,"United Kingdom",NA
"4291",-90.53727,33.54243,"United States","Mississippi"
"4302",-82.14039,29.18752,"United States","Florida"
"4307",-73.80817,40.79263,"United States","New York"
"4332",-75.69189,45.4215,"Canada","Ontario"
"4343",-73.54223,41.05182,"United States","Connecticut"
"4351",-94.35887,32.20049,"United States","Texas"
"4368",-90.49217,34.0737,"United States","Mississippi"
"4370",-77.02659,18.04552,"Jamaica","Saint Catherine Parish"
"4375",-87.67525,34.80046,"United States","Alabama"
"4376",-89.50409,39.73926,"United States","Illinois"
"4386",-0.37196,51.4855,"United Kingdom",NA
"4401",-94.02978,34.31109,"United States","Arkansas"
"4415",-93.92938,29.89932,"United States","Texas"
"4416",15.9676,45.80726,"Croatia","City of Zagreb"
"4420",-92.26831,30.23513,"United States","Louisiana"
"4481",-71.23605,42.28107,"United States","Massachusetts"
"4482",-1.32524,50.67109,"United Kingdom",NA
"4487",-81.72239,33.56173,"United States","South Carolina"
"4502",-77.34762,38.05157,"United States","Virginia"
"4503",-78.89601,35.99527,"United States","North Carolina"
"4518",-122.2705,37.8695,"United States","California"
"4540",-2.13468,53.26265,"United Kingdom","England"
"4578",-82.32547,27.94017,"United States","Florida"
"4598",-93.13913,32.96197,"United States","Louisiana"
"4624",-70.70719,19.45565,"Dominican Republic","Santiago"
"4645",-93.70737,46.53338,"United States","Minnesota"
"4666",-3.79068,37.76509,"Spain","Andalusia"
"4677",-79.7947,36.06899,"United States","North Carolina"
"4724",-88.7493,41.9293,"United States","Illinois"
"4725",-90.43987,41.51526,"United States","Illinois"
"4751",-3.70577,40.4203,"Spain","Community of Madrid"
"4802",10.20452,56.153,"Denmark",NA
"4823",18.28471,-1.9322,"Democratic Republic of the Congo","Bandundu"
"4893",-97.48561,35.33826,"United States","Oklahoma"
"4924",10.74998,59.91228,"Norway","Oslo"
"4926",-114.14328,45.49441,"United States","Idaho"
"4937",-97.32925,32.74863,"United States","Texas"
"4955",-122.16079,37.44466,"United States","California"
"4957",-72.45165,43.87165,"United States","Vermont"
"4959",-103.2833,25.7167,"Mexico","Coahuila"
"4964",7.19655,51.27156,"Germany","North Rhine-Westphalia"
"4965",-6.13487,36.69094,"Spain","Andalusia"
"4988",-77.71758,39.6425,"United States","Maryland"
"5017",-117.75002,34.05464,"United States","California"
"5025",145.77406,-19.93272,"Australia","Queensland"
"5055",-97.49553,25.89958,"United States","Texas"
"5060",-119.09456,46.23518,"United States","Washington"
"5066",6.63233,46.51959,"Switzerland","Vaud"
"5079",24.6075,56.87546,"Latvia","Ikškiles novads"
"5095",-95.82333,29.78772,"United States","Texas"
"5116",-76.45327,41.00461,"United States","Pennsylvania"
"5149",-79.64372,43.58828,"Canada","Ontario"
"5170",-73.59354,40.71793,"United States","New York"
"5191",-79.79854,43.32618,"Canada","Ontario"
"5246",-93.2393,38.57842,"United States","Missouri"
"5307",-1.61237,54.97791,"United Kingdom",NA
"5328",10.22291,59.13349,"Norway","Vestfold"
"5347",6.1427,46.20835,"Switzerland","Geneva"
"5383",-90.59005,33.35303,"United States","Mississippi"
"5390",-92.82984,33.53584,"United States","Arkansas"
"5401",-73.24922,40.72023,"United States","New York"
"5420",-92.11789,30.76753,"United States","Louisiana"
"5515",-77.80679,21.51102,"Cuba","Camaguey"
"5527",-79.05661,35.91463,"United States","North Carolina"
"5537",-85.7664,38.25486,"United States","Kentucky"
"5585",-76.27503,43.1763,"United States","New York"
"5588",7.12123,43.58015,"France","Provence-Alpes-Côte d'Azur"
"5594",-84.98763,32.46292,"United States","Georgia"
"5636",10.23522,43.8814,"Italy","Tuscany"
"5644",-96.0878,30.38815,"United States","Texas"
"5649",-1.09712,51.26143,"United Kingdom",NA
"5666",2.29005,48.69173,"France","Île-de-France"
"5793",7.28021,50.82607,"Germany","North Rhine-Westphalia"
"5835",-109.67097,48.55286,"United States","Montana"
"5836",-112.18628,33.53858,"United States","Arizona"
"5842",-85.59012,42.99671,"United States","Michigan"
"5846",-8.24055,53.41961,"Ireland","Roscommon"
"5852",10.9915,45.43811,"Italy","Veneto"
"5880",4.37967,50.82056,"Belgium","Brussels"
"5900",16.3688,48.20254,"Austria","Vienna"
"5927",-83.18186,42.25147,"United States","Michigan"
"6063",-4.24251,55.8578,"United Kingdom","Scotland"
"6065",-83.7336,42.32807,"United States","Michigan"
"6088",-77.97559,18.20904,"Jamaica","Westmoreland Parish"
"6117",-88.20449,40.11727,"United States","Illinois"
"6118",-73.93585,40.8448,"United States","New York"
"6188",18.70249,59.75952,"Sweden","Stockholm County"
"6213",21.00939,52.23535,"Poland","Masovian Voivodeship"
"6216",-82.4167,23.0833,"Cuba","Havana"
"6248",-94.82807,30.99688,"United States","Texas"
"6255",-7.84481,39.55792,"Portugal","Santarém District"
"6268",-84.54588,33.95319,"United States","Georgia"
"6269",-73.83301,40.69626,"United States","New York"
"6276",8.30437,47.04954,"Switzerland","Lucerne"
"6278",-119.69887,34.41925,"United States","California"
"6306",-122.32944,47.60356,"United States","Washington"
"6317",-118.32674,34.09834,"United States","California"
"6325",-2.23001,54.31407,"United Kingdom",NA
"6334",-82.5148,40.75851,"United States","Ohio"
"6340",-122.62569,47.565,"United States","Washington"
"6455",-80.23742,25.72898,"United States","Florida"
"6489",146.32611,-36.35484,"Australia","Victoria"
"6526",-74.11779,4.65637,"Colombia","Cundinamarca"
"6543",-81.69074,41.50471,"United States","Ohio"
"6558",-84.28065,30.43977,"United States","Florida"
"6571",-4.62141,48.43434,"France","Brittany"
"6578",-89.99726,34.82353,"United States","Mississippi"
"6590",-118.1924,33.76672,"United States","California"
"6607",-87.77891,41.88,"United States","Illinois"
"6608",-119.18044,34.20034,"United States","California"
"6622",2.3584,43.21183,"France","Languedoc-Roussillon"
"6645",0.17898,51.27562,"United Kingdom",NA
"6692",-95.97585,35.62327,"United States","Oklahoma"
"6758",21.75627,-4.03479,"Democratic Republic of the Congo","Kasai Occidental"
"6765",-73.93918,40.68869,"United States","New York"
"6772",-86.87093,35.92425,"United States","Tennessee"
"6793",-94.37517,38.91391,"United States","Missouri"
"6809",-122.67563,45.51179,"United States","Oregon"
"6838",-1.46454,53.38311,"United Kingdom",NA
"6848",-73.83168,40.7038,"United States","New York"
"6849",-107.55405,43.00029,"United States","Wyoming"
"6870",-97.00189,30.6554,"United States","Texas"
"6877",-98.70853,46.91008,"United States","North Dakota"
"6897",-118.39535,33.86404,"United States","California"
"6948",-8.47277,51.89834,"Ireland","Cork"
"6951",-1.81531,52.50524,"United Kingdom",NA
"6993",1.14378,52.05777,"United Kingdom",NA
"7062",-99.502,27.53092,"United States","Texas"
"7103",-61.02281,14.63554,"Martinique","Fort-de-France"
"7105",-89.8643,30.79062,"United States","Louisiana"
"7176",-89.51877,34.36401,"United States","Mississippi"
"7185",-93.6202,42.02534,"United States","Iowa"
"7197",-100.89818,29.36624,"United States","Texas"
"7233",-121.94345,37.87869,"United States","California"
"7267",-71.28109,41.94508,"United States","Massachusetts"
"7273",-0.14858,51.59109,"United Kingdom",NA
"7280",-79.14284,37.41402,"United States","Virginia"
"7336",-54.38783,-14.24292,"Brazil","Mato Grosso"
"7339",-104.59518,50.44801,"Canada","Saskatchewan"
"7350",-1.03182,7.95501,"Ghana","Brong Ahafo"
"7352",174.76714,-41.28054,"New Zealand","Wellington"
"7365",7.01815,43.57607,"France","Provence-Alpes-Côte d'Azur"
"7388",-2.63265,53.45644,"United Kingdom",NA
"7415",-59.59895,13.11199,"Barbados","Saint Michael"
"7445",-123.2079,39.15093,"United States","California"
"7451",-90.91387,34.56039,"United States","Arkansas"
"7475",-90.10126,44.7272,"United States","Wisconsin"
"7523",-4.13689,50.3758,"United Kingdom",NA
"7531",-83.80489,35.32689,"United States","North Carolina"
"7550",-93.8277,35.48703,"United States","Arkansas"
"7561",-122.39293,40.58751,"United States","California"
"7603",-84.15601,31.58076,"United States","Georgia"
"7617",3.89527,7.37884,"Nigeria","Oyo"
"7622",3.72856,51.05563,"Belgium","Flanders"
"7626",-80.25306,26.27249,"United States","Florida"
"7644",37.90395,-0.02435,"Kenya","Tharaka Nithi"
"7742",-0.33556,51.59678,"United Kingdom",NA
"7785",12.57347,42.50382,"Italy","Umbria"
"7794",8.22395,46.8132,"Switzerland","Obwalden"
"7827",-73.92937,41.70671,"United States","New York"
"7847",139.74092,35.67048,"Japan","Tokyo"
"7858",-96.92803,42.78668,"United States","South Dakota"
"7869",-118.49229,34.01156,"United States","California"
"7883",129.2459,35.85683,"South Korea","Gyeongsangbuk-do"
"7944",-71.6342,44.00118,"United States","New Hampshire"
"7971",-91.25019,35.00459,"United States","Arkansas"
"7987",-84.59431,38.68193,"United States","Kentucky"
"8013",-117.24681,32.74838,"United States","California"
"8014",-91.25276,30.4951,"United States","Louisiana"
"8020",-93.61566,41.58979,"United States","Iowa"
"8044",-117.02258,38.50205,"United States","Nevada"
"8046",-95.2943,32.34747,"United States","Texas"
"8061",151.20695,-33.86963,"Australia","New South Wales"
"8074",8.4092,49.01037,"Germany","Baden-Wurttemberg"
"8117",-87.82828,34.27798,"United States","Alabama"
"8118",-2.71939,54.07485,"United Kingdom",NA
"8119",-91.657,31.84666,"United States","Louisiana"
"8137",-73.96644,40.79086,"United States","New York"
"8206",-81.80045,24.55439,"United States","Florida"
"8212",-86.68073,32.61436,"United States","Alabama"
"8217",-80.99001,46.49,"Canada","Ontario"
"8275",-71.01724,42.08317,"United States","Massachusetts"
"8316",-121.94486,37.28848,"United States","California"
"8335",-94.35868,37.83721,"United States","Missouri"
"8405",25.75129,62.24049,"Finland",NA
"8416",-87.46671,35.78032,"United States","Tennessee"
"8424",-74.18893,42.93896,"United States","New York"
"8427",26.83776,-29.21545,"South Africa","Free State"
"8437",-88.91599,35.82213,"United States","Tennessee"
"8444",-111.54732,39.49974,"United States","Utah"
"8448",18.42196,-33.91906,"South Africa","Western Cape"
"8457",-94.15791,36.0632,"United States","Arkansas"
"8458",-73.13585,40.85251,"United States","New York"
"8475",-88.35068,34.27611,"United States","Mississippi"
"8497",-77.91615,35.72171,"United States","North Carolina"
"8541",-120.95071,39.09551,"United States","California"
"8550",-89.10827,39.14465,"United States","Illinois"
"8567",-121.01914,39.26271,"United States","California"
"8585",-85.67869,40.10216,"United States","Indiana"
"8602",-2.97848,53.40977,"United Kingdom",NA
"8682",-0.21346,51.52328,"United Kingdom",NA
"8688",-117.37388,33.98163,"United States","California"
"8696",-0.25969,51.55615,"United Kingdom",NA
"8722",-74.47995,40.82624,"United States","New Jersey"
"8751",4.82897,45.7594,"France","Rhone-Alpes"
"8809",-106.48749,31.75916,"United States","Texas"
"8848",-92.43659,38.2589,"United States","Missouri"
"8851",-114.99993,54.49857,"Canada","Alberta"
"8870",-0.56623,51.31476,"United Kingdom",NA
"8895",-93.29156,37.20897,"United States","Missouri"
"8958",-84.59334,42.73383,"United States","Michigan"
"8995",-86.62021,36.30486,"United States","Tennessee"
"8996",-81.24621,42.98689,"Canada","Ontario"
"9009",-75.92381,38.8235,"United States","Maryland"
"9042",-1.25949,51.7562,"United Kingdom",NA
"9051",13.1876,55.70622,"Sweden","Skåne County"
"9071",-81.86674,30.06677,"United States","Florida"
"9124",-74.12374,40.86034,"United States","New Jersey"
"9135",-122.44165,47.25513,"United States","Washington"
"9179",-76.47933,44.23153,"Canada","Ontario"
"9267",-79.76906,34.19363,"United States","South Carolina"
"9304",-3.99883,17.57975,"Mali","Tombouctou"
"9307",-80.65079,41.0981,"United States","Ohio"
"9324",-66.10665,18.46617,"Puerto Rico","San Juan"
"9342",-101.04893,56.85147,"Canada","Manitoba"
"9353",-121.88579,37.33847,"United States","California"
"9381",-91.56123,32.77942,"United States","Louisiana"
"9401",4.34968,50.84838,"Belgium","Brussels"
"9438",15.21751,59.27074,"Sweden","Örebro County"
"9481",-88.70307,32.36503,"United States","Mississippi"
"9485",-91.03786,33.39847,"United States","Mississippi"
"9519",-96.56183,39.17881,"United States","Kansas"
"9528",4.47684,50.50101,"Belgium","Walloon Region"
"9545",-119.05505,34.47326,"United States","California"
"9587",28.18759,-25.7458,"South Africa","Gauteng"
"9653",5.37249,43.29368,"France","Provence-Alpes-Côte d'Azur"
"9654",15.06744,37.51146,"Italy","Sicilia"
"9679",-79.99745,40.43831,"United States","Pennsylvania"
"9703",-87.21724,30.42084,"United States","Florida"
"9707",-74.57555,39.2794,"United States","New Jersey"
"9726",-90.9564,36.068,"United States","Arkansas"
"9732",-2.59143,51.45366,"United Kingdom",NA
"9738",-117.84881,34.04597,"United States","California"
"9757",-102.61916,38.08767,"United States","Colorado"
"9818",-73.94512,40.79195,"United States","New York"
"9826",-90.645,33.45081,"United States","Mississippi"
"9890",-101.95625,23.62574,"Mexico","Zacatecas"
"9905",-110.94695,29.07904,"Mexico","Sonora"
"9953",-94.68121,33.20271,"United States","Texas"
